datetime|env_datetime|env_time|agent|action|reason|additional|system_id|system_name|part_id|part_name|system_operating_level|part_operating_level|duration|distance_km|request_id|location|materials_cost|hourly_labor_cost|salary_labor_cost|total_labor_cost|equipment_cost|total_cost
2025-06-09 20:54:32.549281|1979-01-01 00:00:00|0|1|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|1|1|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:54:32.600295|1979-01-01 00:00:00|0|3|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|3|3|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:54:32.650843|1979-01-01 00:00:00|0|5|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|5|5|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:54:32.702886|1979-01-01 00:00:00|0|14|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|14|14|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:54:32.754934|1979-01-01 00:00:00|0|27|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|27|27|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:54:32.810634|1979-01-01 00:00:00|0|33|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|33|33|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:54:32.849552|1979-01-01 00:00:00|0|39|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|39|39|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:54:32.891646|1979-01-01 00:00:00|0|2|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|2|2|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:54:32.941313|1979-01-01 00:00:00|0|4|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|4|4|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:54:32.991157|1979-01-01 00:00:00|0|13|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|13|13|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:54:33.037010|1979-01-01 00:00:00|0|26|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|26|26|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:54:33.089786|1979-01-01 00:00:00|0|32|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|32|32|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:54:33.149775|1979-01-01 00:00:00|0|38|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|38|38|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:54:33.196109|1979-01-01 00:00:00|0|10|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|10|10|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:54:33.251814|1979-01-01 00:00:00|0|9|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|9|9|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:54:33.306531|1979-01-01 00:00:00|0|48|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|48|48|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:54:33.348547|1979-01-01 00:00:00|0|49|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|49|49|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:54:33.405041|1979-01-01 00:00:00|0|50|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|50|50|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:54:33.465066|1979-01-01 00:00:00|0|51|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|51|51|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:54:33.517402|1979-01-01 00:00:00|0|52|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|52|52|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:54:33.571072|1979-01-01 00:00:00|0|11|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|11|11|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:54:33.626972|1979-01-01 00:00:00|0|12|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|12|12|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:54:33.678771|1979-01-01 00:00:00|0|25|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|25|25|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:54:33.735321|1979-01-01 00:00:00|0|31|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|31|31|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:54:33.791575|1979-01-01 00:00:00|0|37|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|37|37|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 20:54:33.842721|1979-01-01 00:00:00|0|53|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|53|53|||1.0|1|0|0|na|na|0|0|0|0|0|0
