datetime|env_datetime|env_time|agent|action|reason|additional|system_id|system_name|part_id|part_name|system_operating_level|part_operating_level|duration|distance_km|request_id|location|materials_cost|hourly_labor_cost|salary_labor_cost|total_labor_cost|equipment_cost|total_cost
2024-11-05 16:22:10.681598|1999-01-01 00:00:00|0|B6|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|B6|B6|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:10.717164|1999-01-01 00:00:00|0|B5|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|B5|B5|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:10.776128|1999-01-01 00:00:00|0|C5|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|C5|C5|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:10.833494|1999-01-01 00:00:00|0|E4|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|E4|E4|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:10.882140|1999-01-01 00:00:00|0|A6|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|A6|A6|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:10.935914|1999-01-01 00:00:00|0|A5|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|A5|A5|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:10.969051|1999-01-01 00:00:00|0|D4|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|D4|D4|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:10.997699|1999-01-01 00:00:00|0|F3|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|F3|F3|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:11.032687|1999-01-01 00:00:00|0|F2|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|F2|F2|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:11.067036|1999-01-01 00:00:00|0|a|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|a|a|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:11.111700|1999-01-01 00:00:00|0|C4|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|C4|C4|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:11.157853|1999-01-01 00:00:00|0|E3|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|E3|E3|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:11.204927|1999-01-01 00:00:00|0|E2|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|E2|E2|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:11.242599|1999-01-01 00:00:00|0|G1|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|G1|G1|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:11.269597|1999-01-01 00:00:00|0|i2|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|i2|i2|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:11.313038|1999-01-01 00:00:00|0|s6|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|s6|s6|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:11.376354|1999-01-01 00:00:00|0|q5|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|q5|q5|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:11.416353|1999-01-01 00:00:00|0|G6|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|G6|G6|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:11.483835|1999-01-01 00:00:00|0|B4|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|B4|B4|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:11.521925|1999-01-01 00:00:00|0|D3|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|D3|D3|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:11.548926|1999-01-01 00:00:00|0|D2|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|D2|D2|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:11.583368|1999-01-01 00:00:00|0|F1|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|F1|F1|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:11.633236|1999-01-01 00:00:00|0|s1|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|s1|s1|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:11.687183|1999-01-01 00:00:00|0|y4|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|y4|y4|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:11.746103|1999-01-01 00:00:00|0|p4|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|p4|p4|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:11.836291|1999-01-01 00:00:00|0|G7|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|G7|G7|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:11.920568|1999-01-01 00:00:00|0|F6|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|F6|F6|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:11.989032|1999-01-01 00:00:00|0|A4|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|A4|A4|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:12.033553|1999-01-01 00:00:00|0|C3|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|C3|C3|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:12.087757|1999-01-01 00:00:00|0|C2|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|C2|C2|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:12.146400|1999-01-01 00:00:00|0|E1|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|E1|E1|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:12.182895|1999-01-01 00:00:00|0|g|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|g|g|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:12.213023|1999-01-01 00:00:00|0|w3|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|w3|w3|||1.0|1|0|0|na|na|0|0|0|0|0|0
2024-11-05 16:22:12.275073|1999-01-01 00:00:00|0|r2|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train', 'mooring_line_1', 'mooring_line_2', 'mooring_line_3', 'anchor_1', 'anchor_2', 'anchor_3']|windfarm initialization|initialization|r2|r2|||1.0|1|0|0|na|na|0|0|0|0|0|0
