datetime|env_datetime|env_time|agent|action|reason|additional|system_id|system_name|part_id|part_name|system_operating_level|part_operating_level|duration|distance_km|request_id|location|materials_cost|hourly_labor_cost|salary_labor_cost|total_labor_cost|equipment_cost|total_cost
2025-06-09 21:01:16.916399|1979-01-01 00:00:00|0|1|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|1|1|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 21:01:16.955199|1979-01-01 00:00:00|0|3|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|3|3|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 21:01:16.992250|1979-01-01 00:00:00|0|5|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|5|5|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 21:01:17.029301|1979-01-01 00:00:00|0|14|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|14|14|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 21:01:17.067461|1979-01-01 00:00:00|0|27|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|27|27|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 21:01:17.103558|1979-01-01 00:00:00|0|33|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|33|33|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 21:01:17.142212|1979-01-01 00:00:00|0|39|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|39|39|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 21:01:17.180333|1979-01-01 00:00:00|0|2|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|2|2|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 21:01:17.218680|1979-01-01 00:00:00|0|4|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|4|4|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 21:01:17.255707|1979-01-01 00:00:00|0|13|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|13|13|||1.0|1|0|0|na|na|0|0|0|0|0|0
2025-06-09 21:01:17.293245|1979-01-01 00:00:00|0|26|subassemblies created: ['electrical_system', 'hydraulic_system', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'drive_train']|windfarm initialization|initialization|26|26|||1.0|1|0|0|na|na|0|0|0|0|0|0
