datetime|env_datetime|env_time|1|3|5|14|27|33|39|2|4|13|26|32|38|10|9|48|49|50|51|52|11|12|25|31|37|53|54|55|7|8|47|46|45|44|6|22|28|34|40|43|42|56|20|67|21|23|29|35|41|19|18|17|66|65|64|63|62|61|16|15|24|30|36|60|59|58|57|OSS
2025-06-09 21:05:07.013133|1979-01-01 00:00:00|0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0|1.0
