datetime|env_datetime|env_time|agent|action|reason|additional|system_id|system_name|part_id|part_name|system_operating_level|part_operating_level|duration|distance_km|request_id|location|materials_cost|hourly_labor_cost|salary_labor_cost|total_labor_cost|equipment_cost|total_cost
2026-04-29 22:52:26.977429|1999-01-01 00:00:00|0|1|subassemblies created: ['power_converter', 'electrical_system', 'hydraulic_pitch_system', 'ballast_pump', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'anchor', 'mooring_lines', 'drive_train']|windfarm initialization|initialization|1|1|||1.0|1|0|0|na|na|0|0|0|0|0|0
2026-04-29 22:52:27.025212|1999-01-01 00:00:00|0|18|subassemblies created: ['power_converter', 'electrical_system', 'hydraulic_pitch_system', 'ballast_pump', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'anchor', 'mooring_lines', 'drive_train']|windfarm initialization|initialization|18|18|||1.0|1|0|0|na|na|0|0|0|0|0|0
2026-04-29 22:52:27.075225|1999-01-01 00:00:00|0|27|subassemblies created: ['power_converter', 'electrical_system', 'hydraulic_pitch_system', 'ballast_pump', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'anchor', 'mooring_lines', 'drive_train']|windfarm initialization|initialization|27|27|||1.0|1|0|0|na|na|0|0|0|0|0|0
2026-04-29 22:52:27.135706|1999-01-01 00:00:00|0|35|subassemblies created: ['power_converter', 'electrical_system', 'hydraulic_pitch_system', 'ballast_pump', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'anchor', 'mooring_lines', 'drive_train']|windfarm initialization|initialization|35|35|||1.0|1|0|0|na|na|0|0|0|0|0|0
2026-04-29 22:52:27.183657|1999-01-01 00:00:00|0|44|subassemblies created: ['power_converter', 'electrical_system', 'hydraulic_pitch_system', 'ballast_pump', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'anchor', 'mooring_lines', 'drive_train']|windfarm initialization|initialization|44|44|||1.0|1|0|0|na|na|0|0|0|0|0|0
2026-04-29 22:52:27.234176|1999-01-01 00:00:00|0|53|subassemblies created: ['power_converter', 'electrical_system', 'hydraulic_pitch_system', 'ballast_pump', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'anchor', 'mooring_lines', 'drive_train']|windfarm initialization|initialization|53|53|||1.0|1|0|0|na|na|0|0|0|0|0|0
2026-04-29 22:52:27.260618|1999-01-01 00:00:00|0|52|subassemblies created: ['power_converter', 'electrical_system', 'hydraulic_pitch_system', 'ballast_pump', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'anchor', 'mooring_lines', 'drive_train']|windfarm initialization|initialization|52|52|||1.0|1|0|0|na|na|0|0|0|0|0|0
2026-04-29 22:52:27.323999|1999-01-01 00:00:00|0|43|subassemblies created: ['power_converter', 'electrical_system', 'hydraulic_pitch_system', 'ballast_pump', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'anchor', 'mooring_lines', 'drive_train']|windfarm initialization|initialization|43|43|||1.0|1|0|0|na|na|0|0|0|0|0|0
2026-04-29 22:52:27.368831|1999-01-01 00:00:00|0|4|subassemblies created: ['power_converter', 'electrical_system', 'hydraulic_pitch_system', 'ballast_pump', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'anchor', 'mooring_lines', 'drive_train']|windfarm initialization|initialization|4|4|||1.0|1|0|0|na|na|0|0|0|0|0|0
2026-04-29 22:52:27.400283|1999-01-01 00:00:00|0|10|subassemblies created: ['power_converter', 'electrical_system', 'hydraulic_pitch_system', 'ballast_pump', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'anchor', 'mooring_lines', 'drive_train']|windfarm initialization|initialization|10|10|||1.0|1|0|0|na|na|0|0|0|0|0|0
2026-04-29 22:52:27.453509|1999-01-01 00:00:00|0|19|subassemblies created: ['power_converter', 'electrical_system', 'hydraulic_pitch_system', 'ballast_pump', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'anchor', 'mooring_lines', 'drive_train']|windfarm initialization|initialization|19|19|||1.0|1|0|0|na|na|0|0|0|0|0|0
2026-04-29 22:52:27.504253|1999-01-01 00:00:00|0|28|subassemblies created: ['power_converter', 'electrical_system', 'hydraulic_pitch_system', 'ballast_pump', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'anchor', 'mooring_lines', 'drive_train']|windfarm initialization|initialization|28|28|||1.0|1|0|0|na|na|0|0|0|0|0|0
2026-04-29 22:52:27.553056|1999-01-01 00:00:00|0|36|subassemblies created: ['power_converter', 'electrical_system', 'hydraulic_pitch_system', 'ballast_pump', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'anchor', 'mooring_lines', 'drive_train']|windfarm initialization|initialization|36|36|||1.0|1|0|0|na|na|0|0|0|0|0|0
2026-04-29 22:52:27.603982|1999-01-01 00:00:00|0|45|subassemblies created: ['power_converter', 'electrical_system', 'hydraulic_pitch_system', 'ballast_pump', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'anchor', 'mooring_lines', 'drive_train']|windfarm initialization|initialization|45|45|||1.0|1|0|0|na|na|0|0|0|0|0|0
2026-04-29 22:52:27.654204|1999-01-01 00:00:00|0|54|subassemblies created: ['power_converter', 'electrical_system', 'hydraulic_pitch_system', 'ballast_pump', 'yaw_system', 'rotor_blades', 'generator', 'supporting_structure', 'anchor', 'mooring_lines', 'drive_train']|windfarm initialization|initialization|54|54|||1.0|1|0|0|na|na|0|0|0|0|0|0
