id,substation_id,name,type,latitude,longitude,string_actual,order_actual,string,order,distance,subassembly,upstream_cable,easting,northing,floris_x,floris_y,cable_length,bury_speed
H4,OSS,H4,turbine,-41.32392189,-74.66090211,5,3,5,3,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,5650.99,4287.52,5650.99,4287.52,0,0
A2,OSS,A2,turbine,-41.5691178,-74.73421599,6,0,6,0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,6232.98,5886.5,6232.98,5886.5,0,0
B2,OSS,B2,turbine,-41.52611487,-74.72699426,6,1,6,1,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,6814.96,7485.48,6814.96,7485.48,0,0
C2,OSS,C2,turbine,-41.4831531,-74.71976457,6,2,6,2,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,7396.94,9084.46,7396.94,9084.46,0,0
D2,OSS,D2,turbine,-41.44023249,-74.71252694,6,3,6,3,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,7978.92,10683.4,7978.92,10683.4,0,0
E2,OSS,E2,turbine,-41.39735301,-74.70528138,6,4,6,4,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,8560.9,12282.4,8560.9,12282.4,0,0
F2,OSS,F2,turbine,-41.35451466,-74.69802791,6,5,6,5,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,9142.88,13881.4,9142.88,13881.4,0,0
G2,OSS,G2,turbine,-41.31171742,-74.69076654,6,6,6,6,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,3052.68,1611.61,3052.68,1611.61,0,0
A1,OSS,A1,turbine,-41.54169703,-74.74554745,7,0,7,0,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,3634.67,3210.6,3634.67,3210.6,0,0
B1,OSS,B1,turbine,-41.49867656,-74.7383201,7,1,7,1,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,4216.65,4809.58,4216.65,4809.58,0,0
C1,OSS,C1,turbine,-41.45569734,-74.7310848,7,2,7,2,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,4798.63,6408.56,4798.63,6408.56,0,0
D1,OSS,D1,turbine,-41.41275934,-74.72384155,7,3,7,3,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,5380.61,8007.54,5380.61,8007.54,0,0
E1,OSS,E1,turbine,-41.36986256,-74.71659038,7,4,7,4,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,5962.59,9606.52,5962.59,9606.52,0,0
F1,OSS,F1,turbine,-41.32700699,-74.70933129,7,5,7,5,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,6544.57,11205.5,6544.57,11205.5,0,0
G1,OSS,G1,turbine,-41.2841926,-74.7020643,7,6,7,6,0,15MW_core_wind_floating.yaml,array_core_wind.yaml,7126.55,12804.5,7126.55,12804.5,0,0
OSS,OSS,OSS,substation,-41.66684471,-74.71874487,,,,,,15MW_core_wind_floating.yaml,array_core_wind.yaml,7708.54,14403.5,7708.54,14403.5,0,0
,,,,,,,,,,,15MW_core_wind_floating.yaml,array_core_wind.yaml,1618.34,2133.67,1618.34,2133.67,0,0
,,,,,,,,,,,15MW_core_wind_floating.yaml,array_core_wind.yaml,2200.32,3732.66,2200.32,3732.66,0,0
,,,,,,,,,,,15MW_core_wind_floating.yaml,array_core_wind.yaml,2782.3,5331.64,2782.3,5331.64,0,0
,,,,,,,,,,,15MW_core_wind_floating.yaml,array_core_wind.yaml,3364.28,6930.62,3364.28,6930.62,0,0
,,,,,,,,,,,15MW_core_wind_floating.yaml,array_core_wind.yaml,3946.26,8529.6,3946.26,8529.6,0,0
,,,,,,,,,,,15MW_core_wind_floating.yaml,array_core_wind.yaml,4528.24,10128.6,4528.24,10128.6,0,0
,,,,,,,,,,,15MW_core_wind_floating.yaml,array_core_wind.yaml,5110.23,11727.6,5110.23,11727.6,0,0
,,,,,,,,,,,15MW_core_wind_floating.yaml,array_core_wind.yaml,5692.21,13326.5,5692.21,13326.5,0,0
,,,,,,,,,,,15MW_core_wind_floating.yaml,array_core_wind.yaml,1929.93,7452.68,1929.93,7452.68,0,0
,,,,,,,,,,,15MW_core_wind_floating.yaml,array_core_wind.yaml,2511.92,9051.66,2511.92,9051.66,0,0
,,,,,,,,,,,15MW_core_wind_floating.yaml,array_core_wind.yaml,3093.9,10650.6,3093.9,10650.6,0,0
,,,,,,,,,,,15MW_core_wind_floating.yaml,array_core_wind.yaml,3675.88,12249.6,3675.88,12249.6,0,0
,,,,,,,,,,,15MW_core_wind_floating.yaml,array_core_wind.yaml,4257.86,13848.6,4257.86,13848.6,0,0
,,,,,,,,,,,15MW_core_wind_floating.yaml,array_core_wind.yaml,1659.55,11172.7,1659.55,11172.7,0,0
,,,,,,,,,,,15MW_core_wind_floating.yaml,array_core_wind.yaml,2241.53,12771.7,2241.53,12771.7,0,0
,,,,,,,,,,,15MW_core_wind_floating.yaml,array_core_wind.yaml,2823.51,14370.7,2823.51,14370.7,0,0
,,,,,,,,,,,offshore_substation_core_wind.yaml,export_core_wind.yaml,14568.7,6474.16,14568.7,6474.16,0,0
