,Loss Ratio (%)
Availability Losses,4.608245930775046
Electrical Losses,3.8177263617664123
Environmental Losses,1.59
Technical Losses,1.1979010000000012
Total Losses,15.36781002512998
Wake Losses,5.131004458817832
