,Loss Ratio (%)
Availability Losses,7.073398704320741
Electrical Losses,3.8177263617664123
Environmental Losses,1.59
Technical Losses,1.1979010000000012
Total Losses,17.554909737086156
Wake Losses,5.131004458817831
